"","County","NACECODE_ALL_PERCENT"
"1","CARLOW","0.03"
"2","CAVAN","0.02"
"3","CLARE","0.23"
"4","CORK","0.05"
"5","DONEGAL","0.06"
"6","DUBLIN","0.24"
"7","GALWAY","0.08"
"8","KERRY","0.02"
"9","KILDARE","0.2"
"10","KILKENNY","0.19"
"11","LAOIGHIS","0.05"
"12","LEITRIM","0.05"
"13","LIMERICK","0.03"
"14","LONGFORD","0.04"
"15","LOUTH","0.02"
"16","MAYO","0.02"
"17","MEATH","0.05"
"18","MONAGHAN","0.01"
"19","OFFALY","0.07"
"20","ROSCOMMON","0.04"
"21","SLIGO","0.17"
"22","TIPPERARY","0.03"
"23","WATERFORD","0.2"
"24","WESTMEATH","0.09"
"25","WEXFORD","0.25"
"26","WICKLOW","0.08"
