"","County","NACECODE_P_PERCENT"
"26","CARLOW","0"
"14","CAVAN","0.07"
"2","CLARE","0.26"
"3","CORK","0.17"
"4","DONEGAL","0.07"
"9","DUBLIN","0.27"
"1","GALWAY","0.38"
"5","KERRY","0.03"
"6","KILDARE","0.3"
"7","KILKENNY","0.42"
"8","LAOIGHIS","0.15"
"15","LEITRIM","0.13"
"16","LIMERICK","0.07"
"24","LONGFORD","0"
"25","LOUTH","0"
"11","MAYO","0.1"
"12","MEATH","0.12"
"13","MONAGHAN","0.03"
"17","OFFALY","0.21"
"10","ROSCOMMON","0.17"
"18","SLIGO","0.24"
"19","TIPPERARY","0.08"
"20","WATERFORD","0.42"
"21","WESTMEATH","0.14"
"22","WEXFORD","0.11"
"23","WICKLOW","0.11"
